countryName,IU14,GDP14,GDP_PC14,GDP_PC_Growth14,Health_Exp14,HDI14,EDI14,CPI14,PSI14,Unemployment14
Afghanistan,7.0,1897.52593759488,1795.735834,-0.665270517698119,60.11276091,0.488,0.403,12.0,-2.411068,1.735000014
Angola,21.4,7199.24547787972,6813.052106,1.21983278506757,131.7518748,0.557,0.46,19.0,-0.333232,7.428999901
Bangladesh,13.9,3240.88562338726,3067.032884,4.85610832403805,28.834133,0.572,0.451,25.0,-0.8955632,4.410999775
Benin,6.0,2114.48031526921,2001.052,3.43371285532312,34.40215717,0.505,0.46,39.0,0.0271398,2.540999889
Bhutan,30.3,8108.30097925897,7770.022409,4.47932656158085,82.32856853,0.601,0.434,65.0,1.068039,2.630000114
Burkina Faso,9.4,1672.02343716292,1582.330098,1.28209364611807,39.55127795,0.405,0.264,38.0,-0.7871286,6.479000092
Burundi,1.38,812.030043569286,768.4698369,1.02152974753199,16.00598109,0.429,0.419,20.0,-0.7844071,1.570000052
Cambodia,14.0,3300.61675016579,3123.559819,5.40178261075788,73.29931442,0.561,0.465,21.0,0.0231748,1.231999993
Cameroon,16.2148722257524,3311.73400510519,3134.080704,3.06183608083622,71.24243367,0.54,0.531,27.0,-1.059252,3.53399992
Central African Republic,3.6,710.812164523031,672.6816483,-0.2828524979235,18.30316205,0.355,0.334,24.0,-2.699193,6.901000023
Chad,2.9,2179.24774129838,2062.345069,3.43301682181134,46.88535547,0.406,0.295,22.0,-1.568883,2.052999973
Comoros,6.98,2668.89523057549,2525.726109,-0.304632304831813,68.58201175,0.534,0.47,26.0,-0.1869102,4.074999809
Djibouti,10.71,0.0,0.0,5.22658575887232,72.04343175,0.475,0.314,34.0,-0.7702323,11.74499989
Egypt,33.8946039115275,10601.1666900382,10032.48205,0.616853230317076,153.7887639,0.683,0.586,37.0,-1.631177,13.10499954
El Salvador,24.7617121459061,7236.11736171435,6847.94605,1.24121832990988,276.2230027,0.66,0.568,39.0,-0.02459,4.163000107
Equatorial Guinea,18.86,33542.7650820436,31743.41075,-3.68850197019202,337.5628951,0.59,0.439,0.0,-0.3741466,8.531999588
Eritrea,0.99,0.0,0.0,0.0,24.48536291,0.436,0.29,18.0,-0.8058726,6.867000103
Ethiopia,7.7,1494.11205196438,1413.962518,7.21318728241347,22.43831346,0.446,0.323,33.0,-1.339387,2.104000092
Gabon,38.07120929,17548.2712911969,16606.91902,0.619862380246332,245.485328,0.688,0.618,37.0,0.1495428,19.91600037
Gambia,15.56,2328.65087626561,2203.733684,-4.34615116032873,23.02137821,0.449,0.362,29.0,-0.1514007,9.552000046
Ghana,25.51773743,4006.18647531648,3791.280251,0.566072146028802,81.51717279,0.577,0.54,48.0,-0.106808,6.477000237
Guatemala,23.4,7552.71798310916,7147.563077,2.03208571757986,218.9659611,0.643,0.51,32.0,-0.6555635,2.717000008
Guinea,6.4,1940.6349426703,1836.532318,1.29576276192627,35.60308986,0.446,0.34,25.0,-0.9552428,4.232999802
Guyana,32.0,7302.4069815492,6910.679656,3.3409017690021,207.2130599,0.66,0.597,30.0,-0.1360976,12.36699963
Haiti,11.4,1750.20293330448,1656.315765,1.33110998436969,63.88166505,0.488,0.424,19.0,-0.6436273,13.91800022
Honduras,19.08,4398.09663427997,4162.166942,1.2505917863932,179.1514841,0.606,0.484,29.0,-0.534084,5.487999916
India,21.0,5682.73128543749,5377.889179,6.18673198340534,57.15113738,0.618,0.53,38.0,-0.997912,2.765000105
Indonesia,17.14,10570.1950446793,10003.17184,3.63914313049396,108.8372707,0.691,0.615,34.0,-0.416824,4.048999786
Iraq,13.21,15950.1962930714,15094.5705,-2.97222802043903,187.0112102,0.662,0.501,16.0,-2.480338,7.925000191
Kenya,16.5,2867.10191001328,2713.300271,2.69478834898624,70.80068596,0.556,0.51,25.0,-1.282247,9.588000298
Kiribati,12.25,1917.62741344392,1814.758995,-2.06039502642585,161.3866057,0.613,0.595,0.0,0.8018658,0.0
Kyrgyzstan,28.3,3356.98344766007,3176.902804,1.93443578099559,107.5061505,0.663,0.728,27.0,-0.8046157,8.050000191
Lesotho,22.0,2972.01294621374,2812.583503,2.0666774982414,108.4617426,0.493,0.502,49.0,-0.332812,24.33200073
Liberia,5.41,1328.91311080663,1257.625441,-1.86681893490575,63.81318203,0.464,0.421,37.0,-0.6154496,2.207000017
Libya,17.76,16870.4851323309,15965.49175,-24.4978795656034,0.0,0.693,0.609,18.0,-2.353407,17.13100052
Madagascar,3.7,1693.7950990893,1602.933849,0.585373193908652,22.99713268,0.512,0.494,28.0,-0.5572358,1.333999991
Malawi,5.83,1207.29440992259,1142.530804,2.77826957420204,34.41162976,0.472,0.456,33.0,0.0810932,5.875999928
Mali,7.0,1974.217655054,1868.313533,3.98168038762667,38.01019679,0.414,0.285,32.0,-1.713989,6.375
